Quotazioni Immobiliari : Valori di Mercato - Semestre 2012/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;9;Magazzini;NORMALE;P;900;1800;L;2,7;5,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;5;Negozi;NORMALE;P;3100;6200;L;10,4;20,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;6;Uffici;NORMALE;P;3000;4600;L;7,5;11,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;18;Uffici strutturati;NORMALE;P;3200;4900;L;9,4;14,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;7;Capannoni tipici;NORMALE;P;620;1250;L;2,4;4,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;10;Laboratori;NORMALE;P;1750;3500;L;5,2;10,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;20;Abitazioni civili;NORMALE;P;2050;3100;L;5,2;7,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;21;Abitazioni di tipo economico;NORMALE;P;1400;2150;L;4,1;6,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;16;Autorimesse;NORMALE;P;960;1450;L;3,2;4,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;13;Box;NORMALE;P;1400;2100;L;4,7;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;14;Posti auto coperti;NORMALE;P;850;1300;L;2,9;4,3;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;15;Posti auto scoperti;NORMALE;P;560;850;L;1,9;2,8;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;9;Magazzini;NORMALE;P;620;1250;L;1,9;3,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;5;Negozi;NORMALE;P;2150;4300;L;7,2;14,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;6;Uffici;NORMALE;P;2050;3100;L;5,2;7,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;18;Uffici strutturati;NORMALE;P;2200;3300;L;6,5;9,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C10;NA00002527;10;Laboratori;NORMALE;P;1200;2400;L;3,5;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;20;Abitazioni civili;NORMALE;P;2600;4000;L;6,5;10;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;21;Abitazioni di tipo economico;NORMALE;P;1800;2750;L;5,3;8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;19;Abitazioni signorili;NORMALE;P;3200;4800;L;8;12;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;16;Autorimesse;NORMALE;P;1300;2000;L;4,4;6,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;13;Box;NORMALE;P;2000;3000;L;6,7;10;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;14;Posti auto coperti;NORMALE;P;1250;1900;L;4,2;6,3;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;15;Posti auto scoperti;NORMALE;P;820;1250;L;2,8;4,1;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;9;Magazzini;NORMALE;P;770;1550;L;2,3;4,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;5;Negozi;OTTIMO; ;4100;8300;L;15,4;31,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;5;Negozi;NORMALE;P;2350;4700;L;7,9;15,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;6;Uffici;NORMALE;P;2600;4000;L;6,5;10;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;18;Uffici strutturati;NORMALE;P;2800;4300;L;8,2;12,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C11;NA00002528;10;Laboratori;NORMALE;P;1400;2800;L;4,1;8,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;20;Abitazioni civili;NORMALE;P;2250;3400;L;5,7;8,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;21;Abitazioni di tipo economico;NORMALE;P;1550;2350;L;4,6;6,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;19;Abitazioni signorili;NORMALE;P;3000;4600;L;7,5;11,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;16;Autorimesse;NORMALE;P;1250;1900;L;4,2;6,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;13;Box;NORMALE;P;1850;2800;L;6,2;9,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;14;Posti auto coperti;NORMALE;P;1150;1750;L;3,9;5,8;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;15;Posti auto scoperti;NORMALE;P;760;1150;L;2,6;3,8;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;9;Magazzini;NORMALE;P;800;1600;L;2,4;4,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;5;Negozi;OTTIMO; ;4600;9200;L;17,3;34,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;5;Negozi;NORMALE;P;2400;4800;L;8;16;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;6;Uffici;NORMALE;P;2400;3700;L;6;9,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;18;Uffici strutturati;NORMALE;P;2750;4200;L;8,1;12,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C12;NA00002529;10;Laboratori;NORMALE;P;1550;3100;L;4,6;9;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C13;NA00002530;20;Abitazioni civili;NORMALE;P;2900;4500;L;7,3;11,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C13;NA00002530;21;Abitazioni di tipo economico;NORMALE;P;2000;3000;L;5,9;8,7;N;
